UTM_X,UTM_Y,elevation
618295.9702382638,4196538.6064969916,726.663879394531
618309.5460087970,4196512.8735200455,733.427001953125
618320.2394265492,4196492.6041890951,735.512756347656
618330.7049517436,4196472.7669335930,738.109008789062
618344.2584940126,4196447.0765410913,738.287170410156
618359.1123679260,4196418.9216052266,734.914367675781
618379.3505659206,4196380.5612340458,736.854553222656
618416.3788326848,4196310.3772425670,756.076965332031
618427.8049088726,4196288.7203330882,765.708618164062
618440.9104470930,4196263.8803362250,772.269653320312
618453.1362111064,4196240.7079954846,778.110717773438
618465.8897061148,4196216.5355619602,780.669128417969
618480.1527403322,4196189.5021962607,781.157836914062
618491.1871177437,4196168.5883815801,778.564270019531
618509.3239525788,4196134.2133013513,773.436096191406
618524.7082788250,4196105.0553486096,768.468322753906
618543.2231896520,4196069.9642912829,767.690979003906
618558.0568459634,4196041.8505020170,764.349243164062
618576.8065433744,4196006.3150573978,763.791442871094
618589.3602631780,4195982.5227540098,762.946594238281
618599.7152420870,4195962.8977043228,757.300354003906
618613.8767378269,4195936.0586021077,756.468627929688
618630.7758863418,4195904.0313059697,759.73876953125
618640.9901925522,4195884.6732672872,759.73876953125
618651.3218593872,4195865.0929096211,767.95751953125
618669.5009267484,4195830.6405715076,793.674194335938
618679.5013176132,4195811.6883123163,793.674194335938
618691.2528702590,4195789.4174579326,806.106506347656
618701.5131672109,4195769.9728520522,813.280578613281
618715.3980343714,4195743.6593715167,818.711120605469
618727.8807863588,4195720.0032240367,820.716186523438
618738.3844446628,4195700.0977858379,811.81103515625
618749.1439076083,4195679.7076827856,807.731750488281
618761.3882679350,4195656.5037068520,802.0224609375
618773.9948023624,4195632.6135338387,787.437072753906
618784.9800273835,4195611.7959677465,781.206848144531
618795.8503321052,4195591.1962951617,774.381469726562
618813.6262356756,4195557.5104735242,761.199951171875
618835.1229993732,4195516.7739243330,747.424255371094
618845.8397844046,4195496.4656910812,736.376525878906
618860.6228887802,4195468.4519911772,730.155029296875
618874.2398569882,4195442.6482819384,722.421630859375
618885.2383172014,4195421.8066891488,712.482116699219
618903.6385140482,4195386.9393934179,693.001586914062
618923.3620397366,4195349.5648265779,682.102905273438
618940.8625394444,4195316.4030347969,663.974487304688
618951.7566578968,4195295.7598585850,656.193542480469
618974.8048638810,4195252.0863750866,650.401550292969
618985.4661117442,4195231.8848083140,644.899963378906
619003.4218125620,4195197.8615237530,638.474548339844
619013.5092150986,4195178.7475865139,634.838195800781
619033.5200356818,4195140.8307231115,631.753112792969
619044.3324028534,4195120.3434143020,629.271545410156
619058.5712926332,4195093.3636897346,627.060180664062
619072.7967004636,4195066.4097042186,624.549011230469
619089.6772895458,4195034.4249914931,619.956115722656
619102.2840918764,4195010.5382687449,618.070007324219
619121.7922007388,4194973.5756036621,617.441284179688